uri;count;total;min;average;max;standarddeviation;persecond;errors
"Insikt Loans LendingClub : DELQ_30PLUS : Monthly +60 +Prosper";1;12402;12402;12402;12402;0;0;0
"INPRO14.2: Cumulative Net Charge Off - CUM_LOSS_COVERAGE";1;695;695;695;695;0;0;0
"Insikt Loans Prosper:Loan term :60 : DELQ_30PLUS - Quarterly";1;316;316;316;316;0;0;0
"INPRO14.1: Cumulative Net Charge Off - CUM_LOSS_FORECAST";1;737;737;737;737;0;0;0
"INLCM15.3: 30+ Day Delinquency - DELQ_30PLUS_COVERAGE";1;316;316;316;316;0;0;0
"INPRO15.1: 30+ Day Delinquency - DELQ_30PLUS_FORECAST";1;714;714;714;714;0;0;0
"INLCM15.2: Cumulative Net Charge Off  - CUM_LOSS";1;742;742;742;742;0;0;0
"Insikt Loans LendingClub: Quarterly: Loan term :30,60 -CUM_LOSS";1;4270;4270;4270;4270;0;0;0
"INPRO13.1: 60+ Day Delinquency - DELQ_60PLUS_FORECAST";1;759;759;759;759;0;0;0
"INPRO14.2: 30+ Day Delinquency - DELQ_30PLUS_FORECAST";1;746;746;746;746;0;0;0
"INPRO14.1: 30+ Day Delinquency - DELQ_30PLUS_COVERAGE";1;316;316;316;316;0;0;0
"Insikt Loans Prosper: DELQ_30PLUS : Monthly +60 +Prosper";1;316;316;316;316;0;0;0
"INLCP15.3: Cumulative Net Charge Off - CUM_LOSS_FORECAST";1;1058;1058;1058;1058;0;0;0
"mycro configuration";1;1797;1797;1797;1797;0;0;0
"INPRO15.1: Cumulative Net Charge Off - CUM_LOSS";1;820;820;820;820;0;0;0
"Insikt Loans LendingClub : Loan term :60 : DELQ_30PLUS - Quarterly";1;5185;5185;5185;5185;0;0;0
"INLCM15.3: 60+ Day Delinquency -  DELQ_60PLUS_COVERAGE";1;701;701;701;701;0;0;0
"Insikt Loans Prosper: Annual: Loan term :30,60 -DELQ_30PLUS";1;2409;2409;2409;2409;0;0;0
"INPRO13.1: Cumulative Net Charge Off - CUM_LOSS_FORECAST";1;718;718;718;718;0;0;0
"INLCM15.3: 30+ Day Delinquency - DELQ_30PLUS_FORECAST";1;1055;1055;1055;1055;0;0;0
"Insikt Loans Prosper:Loan term :60 : DELQ_30PLUS - Annual";1;316;316;316;316;0;0;0
"INPRO15.1: 60+ Day Delinquency - DELQ_60PLUS_COVERAGE";1;688;688;688;688;0;0;0
"INLCM15.2: 30+ Day Delinquency - DELQ_30PLUS";1;773;773;773;773;0;0;0
"INLCM15.2: 30+ Day Delinquency - DELQ_30PLUS_FORECAST";1;817;817;817;817;0;0;0
"INLCM15.2: Cumulative Net Charge Off  - CUM_LOSS_COVERAGE";1;695;695;695;695;0;0;0
"INPRO13.1: 30+ Day Delinquency - DELQ_30PLUS";1;1100;1100;1100;1100;0;0;0
"Insikt Loans LendingClub: 30+ Day Delinquency: Loan term :30,60";1;4270;4270;4270;4270;0;0;0
"INPRO14.1: Cumulative Net Charge Off - CUM_LOSS_COVERAGE";1;681;681;681;681;0;0;0
"Insikt Loans Prosper: 30+ Day Delinquency: Loan term :30,60 - CUM_LOSS";1;4879;4879;4879;4879;0;0;0
"INPRO14.1: 30+ Day Delinquency - DELQ_30PLUS_FORECAST";1;734;734;734;734;0;0;0
"INLCM15.2: 60+ Day Delinquency - DELQ_60PLUS_COVERAGE";1;701;701;701;701;0;0;0
"INPRO15.1: 30+ Day Delinquency - DELQ_30PLUS_COVERAGE";1;316;316;316;316;0;0;0
"Debug Sampler";1;660;660;660;660;0;0;0
"INPRO14.1: 60+ Day Delinquency - DELQ_60PLUS_FORECAST";1;736;736;736;736;0;0;0
"INPRO14.2: 60+ Day Delinquency - DELQ_60PLUS";1;894;894;894;894;0;0;0
"Insikt Loans LendingClub : Loan term :60 : DELQ_30PLUS - Monthly";1;12402;12402;12402;12402;0;0;0
"Insikt Loans Prosper:Loan term :30,60 : DELQ_30PLUS - Annual";1;2409;2409;2409;2409;0;0;0
"INPRO13.1: Cumulative Net Charge Off - CUM_LOSS";1;984;984;984;984;0;0;0
"INPRO13.2: 60+ Day Delinquency - DELQ_60PLUS";1;1062;1062;1062;1062;0;0;0
"Insikt Loans Prosper: Monthly: Loan term :30,60 -DELQ_30PLUS";1;14200;14200;14200;14200;0;0;0
