uri;count;total;min;average;max;standarddeviation;persecond;errors
"INLCM15.3: 30+ Day Delinquency - DELQ_30PLUS_FORECAST";1;38;38;38;38;0;0;0
"Insikt Loans Prosper:Loan term :60 : DELQ_30PLUS - Annual";1;43;43;43;43;0;0;0
"INPRO15.1: 60+ Day Delinquency - DELQ_60PLUS_COVERAGE";1;37;37;37;37;0;0;0
"INLCM15.2: 30+ Day Delinquency - DELQ_30PLUS";1;49;49;49;49;0;0;0
"INLCM15.2: 30+ Day Delinquency - DELQ_30PLUS_FORECAST";1;36;36;36;36;0;0;0
"INLCM15.2: Cumulative Net Charge Off  - CUM_LOSS_COVERAGE";1;36;36;36;36;0;0;0
"INPRO13.1: 30+ Day Delinquency - DELQ_30PLUS";1;39;39;39;39;0;0;0
"Insikt Loans LendingClub: 30+ Day Delinquency: Loan term :30,60";1;47;47;47;47;0;0;0
"INPRO14.1: Cumulative Net Charge Off - CUM_LOSS_COVERAGE";1;37;37;37;37;0;0;0
"Insikt Loans Prosper: 30+ Day Delinquency: Loan term :30,60 - CUM_LOSS";1;310;310;310;310;0;0;0
"INPRO14.1: 30+ Day Delinquency - DELQ_30PLUS_FORECAST";1;36;36;36;36;0;0;0
"INLCM15.2: 60+ Day Delinquency - DELQ_60PLUS_COVERAGE";1;37;37;37;37;0;0;0
"INPRO15.1: 30+ Day Delinquency - DELQ_30PLUS_COVERAGE";1;36;36;36;36;0;0;0
"Debug Sampler";1;1;1;1;1;0;0;0
"INPRO14.1: 60+ Day Delinquency - DELQ_60PLUS_FORECAST";1;49;49;49;49;0;0;0
"INPRO14.2: 60+ Day Delinquency - DELQ_60PLUS";1;40;40;40;40;0;0;0
"Insikt Loans LendingClub : Loan term :60 : DELQ_30PLUS - Monthly";1;59;59;59;59;0;0;0
"Insikt Loans Prosper:Loan term :30,60 : DELQ_30PLUS - Annual";1;45;45;45;45;0;0;0
"INPRO13.1: Cumulative Net Charge Off - CUM_LOSS";1;49;49;49;49;0;0;0
"INPRO13.2: 60+ Day Delinquency - DELQ_60PLUS";1;38;38;38;38;0;0;0
"Insikt Loans Prosper: Monthly: Loan term :30,60 -DELQ_30PLUS";1;56;56;56;56;0;0;0
